holiday,ds,lower_window,upper_window
Pascua Florida Day,4/2/17,-3,3
Pascua Florida Day observed,4/3/17,-3,3
Palm Sunday,4/9/17,-3,3
Florida - Spring School Holidays,4/10/17,-3,3
Florida - Spring School Holidays,4/11/17,-3,3
Florida - Spring School Holidays,4/12/17,-3,3
Florida - Spring School Holidays,4/13/17,-3,3
Florida - Spring School Holidays,4/14/17,-3,3
Passover (first day),4/11/17,-3,3
Orthodox Good Friday,4/14/17,-3,3
Easter Sunday,4/16/17,-3,3
Easter Monday,4/17/17,-3,3
Tax Day,4/18/17,-3,3
Confederate Heroes' Day,4/26/17,-3,3
State Holiday,4/26/17,-3,3
Mother's Day,5/14/17,-3,3
Ramadan Starts,5/27/17,-3,3
Father's Day,6/18/17,-3,3
Juneteenth,6/19/17,-3,3
Rosh Hashana,9/21/17,-3,3
Yom Kippur,9/30/17,-3,3
Columbus Day,10/9/17,-3,3
Halloween,10/31/17,-3,3
Florida - Thanksgiving School Holidays,11/22/17,-3,3
Florida - Thanksgiving School Holidays,11/23/17,-3,3
Florida - Thanksgiving School Holidays,11/24/17,-3,3
Black Friday,11/24/17,-3,3
Cyber Monday,11/27/17,-3,3
Florida - Winter School Holidays,12/22/17,-3,3
Florida - Winter School Holidays,12/23/17,-3,3
Florida - Winter School Holidays,12/24/17,-3,3
Florida - Winter School Holidays,12/25/17,-3,3
Florida - Winter School Holidays,12/26/17,-3,3
Florida - Winter School Holidays,12/27/17,-3,3
Florida - Winter School Holidays,12/28/17,-3,3
Florida - Winter School Holidays,12/29/17,-3,3
Florida - Winter School Holidays,12/30/17,-3,3
Florida - Winter School Holidays,12/31/17,-3,3
Florida - Winter School Holidays,1/1/18,-3,3
Florida - Winter School Holidays,1/2/18,-3,3
Florida - Winter School Holidays,1/3/18,-3,3
Florida - Winter School Holidays,1/4/18,-3,3
Florida - Winter School Holidays,1/5/18,-3,3
New Year's Eve,12/31/17,-3,3
Lincoln's Birthday,2/12/18,-3,3
Shrove Tuesday/Mardi Gras,2/13/18,-3,3
Shrove Tuesday/Mardi Gras,2/13/18,-3,3
Valentine's Day,2/14/18,-3,3
Chinese New Year,2/16/18,-3,3
St. Patrick's Day,3/17/18,-3,3
Florida - Spring School Holidays,3/19/18,-3,3
Florida - Spring School Holidays,3/20/18,-3,3
Florida - Spring School Holidays,3/21/18,-3,3
Florida - Spring School Holidays,3/22/18,-3,3
Florida - Spring School Holidays,3/23/18,-3,3
Palm Sunday,3/25/18,-3,3
Passover (first day),3/31/18,-3,3
Easter Sunday,4/1/18,-3,3
Pascua Florida Day,4/2/18,-3,3
Easter Monday,4/2/18,-3,3
Orthodox Good Friday,4/6/18,-3,3
Tax Day,4/17/18,-3,3
State Holiday,4/26/18,-3,3
Confederate Heroes' Day,4/26/18,-3,3
Mother's Day,5/13/18,-3,3
Ramadan Starts,5/16/18,-3,3
Father's Day,6/17/18,-3,3
Juneteenth,6/19/18,-3,3
Rosh Hashana,9/10/18,-3,3
Yom Kippur,9/19/18,-3,3
Columbus Day,10/8/18,-3,3
Halloween,10/31/18,-3,3
Florida - Thanksgiving School Holidays,11/19/18,-3,3
Florida - Thanksgiving School Holidays,11/20/18,-3,3
Florida - Thanksgiving School Holidays,11/21/18,-3,3
Florida - Thanksgiving School Holidays,11/22/18,-3,3
Florida - Thanksgiving School Holidays,11/23/18,-3,3
Black Friday,11/23/18,-3,3
Cyber Monday,11/26/18,-3,3
Florida - Winter School Holidays,12/22/18,-3,3
Florida - Winter School Holidays,12/23/18,-3,3
Florida - Winter School Holidays,12/24/18,-3,3
Florida - Winter School Holidays,12/25/18,-3,3
Florida - Winter School Holidays,12/26/18,-3,3
Florida - Winter School Holidays,12/27/18,-3,3
Florida - Winter School Holidays,12/28/18,-3,3
Florida - Winter School Holidays,12/29/18,-3,3
Florida - Winter School Holidays,12/30/18,-3,3
Florida - Winter School Holidays,12/31/18,-3,3
Florida - Winter School Holidays,1/1/19,-3,3
Florida - Winter School Holidays,1/2/19,-3,3
Florida - Winter School Holidays,1/3/19,-3,3
Florida - Winter School Holidays,1/4/19,-3,3
New Year's Eve,12/31/18,-3,3
Chinese New Year,2/5/19,-3,3
Lincoln's Birthday,2/12/19,-3,3
Valentine's Day,2/14/19,-3,3
Shrove Tuesday/Mardi Gras,3/5/19,-3,3
Shrove Tuesday/Mardi Gras,3/5/19,-3,3
St. Patrick's Day,3/17/19,-3,3
Florida - Spring School Holidays,3/18/19,-3,3
Florida - Spring School Holidays,3/19/19,-3,3
Florida - Spring School Holidays,3/20/19,-3,3
Florida - Spring School Holidays,3/21/19,-3,3
Florida - Spring School Holidays,3/22/19,-3,3
Pascua Florida Day,4/2/19,-3,3
Palm Sunday,4/14/19,-3,3
Tax Day,4/15/19,-3,3
Passover (first day),4/20/19,-3,3
Easter Sunday,4/21/19,-3,3
Easter Monday,4/22/19,-3,3
Orthodox Good Friday,4/26/19,-3,3
State Holiday,4/26/19,-3,3
Confederate Heroes' Day,4/26/19,-3,3
Ramadan Starts,5/6/19,-3,3
Mother's Day,5/12/19,-3,3
Father's Day,6/16/19,-3,3
Juneteenth,6/19/19,-3,3
Double Thanks Giving,11/24/17,-3,3
Double Thanks Giving,11/23/18,-3,3
Double New Year,12/24/17,-3,3
Double New Year,12/24/18,-3,3
Summer Promotion,7/26/17,-3,3
Summer Promotion,7/27/17,-3,3
Summer Promotion,7/28/17,-3,3
Summer Promotion,7/29/17,-3,3
Summer Promotion,7/30/17,-3,3
Summer Promotion,7/31/17,-3,3
Summer Promotion,8/1/17,-3,3
Summer Promotion,8/2/17,-3,3
Summer Promotion,8/3/17,-3,3
Summer Promotion,8/4/17,-3,3
Summer Promotion,8/5/17,-3,3
Summer Promotion,8/6/17,-3,3
Summer Promotion,8/7/17,-3,3
Summer Promotion,8/8/17,-3,3
Summer Promotion,8/9/17,-3,3
Summer Promotion,8/10/17,-3,3
Summer Promotion,8/11/17,-3,3
Summer Promotion,8/12/17,-3,3
Summer Promotion,8/13/17,-3,3
Summer Promotion,8/14/17,-3,3
Summer Promotion,8/15/17,-3,3
Summer Promotion,8/16/17,-3,3
Thanks Giving Promotion,11/22/17,-3,3
Thanks Giving Promotion,11/23/17,-3,3
Thanks Giving Promotion,11/24/17,-3,3
Thanks Giving Promotion,11/25/17,-3,3
Thanks Giving Promotion,11/26/17,-3,3
Thanks Giving Promotion,11/27/17,-3,3
Winter Promotion,12/13/17,-3,3
Winter Promotion,12/14/17,-3,3
Winter Promotion,12/15/17,-3,3
Winter Promotion,12/16/17,-3,3
Winter Promotion,12/17/17,-3,3
Winter Promotion,12/18/17,-3,3
Winter Promotion,12/19/17,-3,3
Winter Promotion,12/20/17,-3,3
Winter Promotion,12/21/17,-3,3
Winter Promotion,12/22/17,-3,3
Winter Promotion,12/23/17,-3,3
Winter Promotion,12/24/17,-3,3
Winter Promotion,12/25/17,-3,3
Winter Promotion,12/26/17,-3,3
Summer Promotion,7/31/18,-3,3
Summer Promotion,8/1/18,-3,3
Summer Promotion,8/2/18,-3,3
Summer Promotion,8/3/18,-3,3
Summer Promotion,8/4/18,-3,3
Summer Promotion,8/5/18,-3,3
Summer Promotion,8/6/18,-3,3
Summer Promotion,8/7/18,-3,3
Summer Promotion,8/8/18,-3,3
Summer Promotion,8/9/18,-3,3
Summer Promotion,8/10/18,-3,3
Summer Promotion,8/11/18,-3,3
Summer Promotion,8/12/18,-3,3
Summer Promotion,8/13/18,-3,3
Summer Promotion,8/14/18,-3,3
Summer Promotion,8/15/18,-3,3
Summer Promotion,8/16/18,-3,3
Summer Promotion,8/17/18,-3,3
Summer Promotion,8/18/18,-3,3
Summer Promotion,8/19/18,-3,3
Summer Promotion,8/20/18,-3,3
Summer Promotion,8/21/18,-3,3
Thanks Giving Promotion,11/21/18,-3,3
Thanks Giving Promotion,11/22/18,-3,3
Thanks Giving Promotion,11/23/18,-3,3
Thanks Giving Promotion,11/24/18,-3,3
Thanks Giving Promotion,11/25/18,-3,3
Thanks Giving Promotion,11/26/18,-3,3
Winter Promotion,12/12/18,-3,3
Winter Promotion,12/13/18,-3,3
Winter Promotion,12/14/18,-3,3
Winter Promotion,12/15/18,-3,3
Winter Promotion,12/16/18,-3,3
Winter Promotion,12/17/18,-3,3
Winter Promotion,12/18/18,-3,3
Winter Promotion,12/19/18,-3,3
Winter Promotion,12/20/18,-3,3
Winter Promotion,12/21/18,-3,3
Winter Promotion,12/22/18,-3,3
Winter Promotion,12/23/18,-3,3
Winter Promotion,12/24/18,-3,3
Winter Promotion,12/25/18,-3,3
Winter Promotion,12/26/18,-3,3
Winter Promotion,12/27/18,-3,3
Winter Promotion,12/28/18,-3,3
Winter Promotion,12/29/18,-3,3
Winter Promotion,12/30/18,-3,3
Winter Promotion,12/31/18,-3,3
Winter Promotion,1/1/19,-3,3
Winter Promotion,1/2/19,-3,3
Summer Promotion,7/24/19,-3,3
Summer Promotion,7/25/19,-3,3
Summer Promotion,7/26/19,-3,3
Summer Promotion,7/27/19,-3,3
Summer Promotion,7/28/19,-3,3
Summer Promotion,7/29/19,-3,3
Summer Promotion,7/30/19,-3,3
Summer Promotion,7/31/19,-3,3
Summer Promotion,8/1/19,-3,3
Summer Promotion,8/2/19,-3,3
Summer Promotion,8/3/19,-3,3
Summer Promotion,8/4/19,-3,3
Summer Promotion,8/5/19,-3,3
Summer Promotion,8/6/19,-3,3
Summer Promotion,8/7/19,-3,3
Summer Promotion,8/8/19,-3,3
Summer Promotion,8/9/19,-3,3
Summer Promotion,8/10/19,-3,3
Summer Promotion,8/11/19,-3,3
Summer Promotion,8/12/19,-3,3
Summer Promotion,8/13/19,-3,3
Thanks Giving Promotion,11/27/19,-3,3
Thanks Giving Promotion,11/28/19,-3,3
Thanks Giving Promotion,11/29/19,-3,3
Thanks Giving Promotion,11/30/19,-3,3
Thanks Giving Promotion,12/1/19,-3,3
Thanks Giving Promotion,12/2/19,-3,3
Winter Promotion,12/11/19,-3,3
Winter Promotion,12/12/19,-3,3
Winter Promotion,12/13/19,-3,3
Winter Promotion,12/14/19,-3,3
Winter Promotion,12/15/19,-3,3
Winter Promotion,12/16/19,-3,3
Winter Promotion,12/17/19,-3,3
Winter Promotion,12/18/19,-3,3
Winter Promotion,12/19/19,-3,3
Winter Promotion,12/20/19,-3,3
Winter Promotion,12/21/19,-3,3
Winter Promotion,12/22/19,-3,3
Winter Promotion,12/23/19,-3,3
Winter Promotion,12/24/19,-3,3
Winter Promotion,12/25/19,-3,3
Winter Promotion,12/26/19,-3,3
Winter Promotion,12/27/19,-3,3
Winter Promotion,12/28/19,-3,3
Winter Promotion,12/29/19,-3,3
Winter Promotion,12/30/19,-3,3
Winter Promotion,12/31/19,-3,3
Winter Promotion,1/1/20,-3,3
Winter Promotion,1/2/20,-3,3
Flood Advisory,9/29/17,-3,3
Flood Advisory,10/7/17,-3,3
Flood Advisory,10/8/17,-3,3
Flood Advisory,5/6/18,-3,3
Flood Advisory,5/16/18,-3,3
Flood Advisory,5/17/18,-3,3
Flood Advisory,5/18/18,-3,3
Flood Advisory,5/19/18,-3,3
Flood Advisory,5/19/18,-3,3
Flood Advisory,5/19/18,-3,3
Flood Advisory,6/12/18,-3,3
Flood Advisory,6/13/18,-3,3
Flood Advisory,6/16/18,-3,3
Flood Advisory,6/17/18,-3,3
Flood Advisory,6/24/18,-3,3
Flood Advisory,7/1/18,-3,3
Flood Advisory,7/2/18,-3,3
Flood Advisory,7/11/18,-3,3
Flood Advisory,7/23/18,-3,3
Flood Advisory,7/28/18,-3,3
Flood Advisory,7/28/18,-3,3
Flood Advisory,7/29/18,-3,3
Flood Advisory,7/31/18,-3,3
Flood Advisory,8/12/18,-3,3
Flood Advisory,8/17/18,-3,3
Flood Advisory,8/19/18,-3,3
Flood Advisory,8/20/18,-3,3
Flood Advisory,8/19/18,-3,3
Flood Advisory,8/20/18,-3,3
Flood Advisory,8/20/18,-3,3
Flood Advisory,8/21/18,-3,3
Flood Advisory,8/22/18,-3,3
Flood Advisory,8/23/18,-3,3
Flood Advisory,8/24/18,-3,3
Flood Advisory,9/28/18,-3,3
Frost Advisory,12/12/18,-3,3
Flood Advisory,3/27/19,-3,3
